challenge_id	master_id	public_id	pool	tier	tier_basis	total_length	in_draw	ms1190_status	ms1190_seq
ac-v1-00001	INTLB-b4-604-0	ACP-038258	interleaved_b	T2_medium	100k	27	true		
ac-v1-00002	MS-n6-wXXYYYxyxY	ACP-000603	ms_expanded	T4_frontier	100k	25	true		
ac-v1-00003	MS-n3-wXYYYYYxYY	ACP-019402	ms_expanded	T1_easy	10k_final	19	true		
ac-v1-00004	MS-n6-wYYYYYYXyxY	ACP-023309	ms_expanded	T2_medium	100k	26	true		
ac-v1-00005	INTLB-b4-1251-1	ACP-039764	interleaved_b	T1_easy	10k_final	29	true		
ac-v1-00006	INTLB-b4-2095-1	ACP-037486	interleaved_b	T1_easy	10k_final	32	true		
ac-v1-00007	MS-n4-wXXXYYxxyxy	ACP-027921	ms_expanded	T4_frontier	100k	22	true		
ac-v1-00008	AUTH-16_6-k0-0	ACP-017808	aut_hard	T5_moonshot	100k	16	true		
ac-v1-00009	INTLB-b4-1491-1	ACP-041190	interleaved_b	T1_easy	10k_final	22	true		
ac-v1-00010	INTLB-b4-3144-1	ACP-045605	interleaved_b	T2_medium	100k	31	true		
ac-v1-00011	INTLB-b4-1829-1	ACP-038472	interleaved_b	T3_hard_solvable	100k	27	true		
ac-v1-00012	INTLB-b4-1239-0	ACP-040312	interleaved_b	T1_easy	10k_final	26	true		
ac-v1-00013	INTLB-b4-1342-1	ACP-040849	interleaved_b	T2_medium	100k	34	true		
ac-v1-00014	MS-n10-wXyxyyy	ACP-010164	ms_expanded	T4_frontier	100k	30	true		
ac-v1-00015	INTLB-b4-96-0	ACP-037931	interleaved_b	T3_hard_solvable	100k	21	true		
ac-v1-00016	MS-n5-wYxyyXyy	ACP-023989	ms_expanded	T2_medium	100k	21	true	uncertified	733
ac-v1-00017	INTLB-b3t-300-0	ACP-037736	interleaved_b	T1_easy	10k_final	27	true		
ac-v1-00018	INTLB-b4-169-0	ACP-042629	interleaved_b	T1_easy	10k_final	23	true		
ac-v1-00019	MS-n10-wYXYxyy	ACP-028704	ms_expanded	T4_frontier	100k	30	true		
ac-v1-00020	INTLB-b3t-143-1	ACP-044525	interleaved_b	T1_easy	10k_final	32	true		
ac-v1-00021	INTLB-b4-1192-0	ACP-045639	interleaved_b	T1_easy	10k_final	33	true		
