seq,n,w,w_vector,status_at_freeze,reported_class,scored,challenge_id,training_id,prototype_path_length
1,1,y^{-1},-2,certified,,false,,ms-train-0001,7
2,2,y^{-1},-2,certified,,false,,ms-train-0002,8
3,3,y^{-1},-2,certified,,false,,ms-train-0003,9
4,4,y^{-1},-2,certified,,false,,ms-train-0004,10
5,5,y^{-1},-2,certified,,false,,ms-train-0005,11
6,6,y^{-1},-2,certified,,false,,ms-train-0006,12
7,7,y^{-1},-2,certified,,false,,ms-train-0007,13
8,1,y,2,certified,,false,,ms-train-0008,6
9,2,y,2,certified,,false,,ms-train-0009,7
10,3,y,2,certified,,false,,ms-train-0010,8
11,4,y,2,certified,,false,,ms-train-0011,9
12,5,y,2,certified,,false,,ms-train-0012,10
13,6,y,2,certified,,false,,ms-train-0013,11
14,7,y,2,certified,,false,,ms-train-0014,12
15,1,y^{2},2 2,certified,,false,,ms-train-0015,11
16,2,y^{2},2 2,certified,,false,,ms-train-0016,12
17,3,y^{2},2 2,certified,,false,,ms-train-0017,12
18,4,y^{2},2 2,certified,,false,,ms-train-0018,15
19,5,y^{2},2 2,certified,,false,,ms-train-0019,14
20,6,y^{2},2 2,certified,,false,,ms-train-0020,19
21,7,y^{2},2 2,certified,,false,,ms-train-0021,23
22,1,y^{-2},-2 -2,certified,,false,,ms-train-0022,8
23,2,y^{-2},-2 -2,certified,,false,,ms-train-0023,9
24,3,y^{-2},-2 -2,certified,,false,,ms-train-0024,10
25,4,y^{-2},-2 -2,certified,,false,,ms-train-0025,11
26,5,y^{-2},-2 -2,certified,,false,,ms-train-0026,12
27,6,y^{-2},-2 -2,certified,,false,,ms-train-0027,13
28,7,y^{-2},-2 -2,certified,,false,,ms-train-0028,14
29,1,y^{3},2 2 2,certified,,false,,ms-train-0029,18
30,2,y^{3},2 2 2,certified,,false,,ms-train-0030,9
31,3,y^{3},2 2 2,certified,,false,,ms-train-0031,11
32,4,y^{3},2 2 2,certified,,false,,ms-train-0032,13
33,5,y^{3},2 2 2,certified,,false,,ms-train-0033,13
34,6,y^{3},2 2 2,certified,,false,,ms-train-0034,16
35,7,y^{3},2 2 2,certified,,false,,ms-train-0035,23
36,1,y^{-3},-2 -2 -2,certified,,false,,ms-train-0036,9
37,2,y^{-3},-2 -2 -2,certified,,false,,ms-train-0037,9
38,3,y^{-3},-2 -2 -2,certified,,false,,ms-train-0038,10
39,4,y^{-3},-2 -2 -2,certified,,false,,ms-train-0039,11
40,5,y^{-3},-2 -2 -2,certified,,false,,ms-train-0040,14
41,6,y^{-3},-2 -2 -2,certified,,false,,ms-train-0041,13
42,7,y^{-3},-2 -2 -2,certified,,false,,ms-train-0042,12
43,1,y^{-4},-2 -2 -2 -2,certified,,false,,ms-train-0043,10
44,2,y^{-4},-2 -2 -2 -2,certified,,false,,ms-train-0044,12
45,3,y^{-4},-2 -2 -2 -2,certified,,false,,ms-train-0045,10
46,4,y^{-4},-2 -2 -2 -2,certified,,false,,ms-train-0046,11
47,5,y^{-4},-2 -2 -2 -2,certified,,false,,ms-train-0047,12
48,6,y^{-4},-2 -2 -2 -2,certified,,false,,ms-train-0048,15
49,7,y^{-4},-2 -2 -2 -2,certified,,false,,ms-train-0049,14
50,1,x^{-1}y^{-1}xy,-1 -2 1 2,certified,,false,,ms-train-0050,10
51,2,x^{-1}y^{-1}xy,-1 -2 1 2,certified,,false,,ms-train-0051,28
52,3,x^{-1}y^{-1}xy,-1 -2 1 2,certified,,false,,ms-train-0052,63
53,4,x^{-1}y^{-1}xy,-1 -2 1 2,certified,,false,,ms-train-0053,138
54,5,x^{-1}y^{-1}xy,-1 -2 1 2,uncertified,,false,,,
55,6,x^{-1}y^{-1}xy,-1 -2 1 2,uncertified,,false,,,
56,7,x^{-1}y^{-1}xy,-1 -2 1 2,uncertified,,false,,,
57,1,x^{-1}y^{-1}xy^{-1},-1 -2 1 -2,certified,,false,,ms-train-0054,19
58,2,x^{-1}y^{-1}xy^{-1},-1 -2 1 -2,uncertified,,false,,,
59,3,x^{-1}y^{-1}xy^{-1},-1 -2 1 -2,open,13_1,true,ms-v1-0001,,
60,4,x^{-1}y^{-1}xy^{-1},-1 -2 1 -2,open,15_1,true,ms-v1-0002,,
61,5,x^{-1}y^{-1}xy^{-1},-1 -2 1 -2,open,16_1,true,ms-v1-0003,,
62,6,x^{-1}y^{-1}xy^{-1},-1 -2 1 -2,open,20_9,true,ms-v1-0004,,
63,7,x^{-1}y^{-1}xy^{-1},-1 -2 1 -2,open,22_{14},true,ms-v1-0005,,
64,1,yxyx^{-1},2 1 2 -1,certified,,false,,ms-train-0055,15
65,2,yxyx^{-1},2 1 2 -1,uncertified,,false,,,
66,3,yxyx^{-1},2 1 2 -1,open,13_1,true,ms-v1-0006,,
